COD_IDCONTRA,COD_PERSONA,FAP_CONTR,IMP_CAPDIS,IMP_CAPINI,IMP_CAPPEN
00000000000000000356833606,198084,15JUL2016,28600.00,28600.00,25174.57
00000000000000000017828943,198532,23APR2003,147200.00,147200.00,36828.95
00000000000000000270020383,208174,22DEC2015,542500.00,542500.00,478335.68
00000000000000000270031624,208174,22DEC2015,155000.00,155000.00,117439.59
00000000000000000283635446,208174,21FEB2008,371000.00,371000.00,37655.68
00000000000000000283721748,208174,26AUG2009,180000.00,180000.00,0.00
00000000000000000283721781,208174,26AUG2009,52000.00,52000.00,0.00
00000000000000000369951634,208174,10FEB2017,135000.00,135000.00,133670.21
00000000000000000016642088,210387,28JUL2003,82339.00,82339.00,26699.56
00000000000000000016820454,217097,21JUL2005,131693.69,123512.43,54021.05
00000000000000000159515149,217732,28DEC2012,56016.45,51016.45,54100.99
00000000000000000148937977,232071,29MAR2012,119000.00,119000.00,109563.86
00000000000000000018149263,245401,15NOV2002,220000.00,220000.00,0.00
00000000000000000356105404,246111,04JUL2016,0.00,0.00,0.00
00000000000000000166469428,246975,29APR2009,106615.50,106615.50,80398.59
00000000000000000283826621,252893,02MAY2003,86000.00,86000.00,50100.85
00000000000000000079892478,258896,19MAR2010,40626.20,40626.20,18408.59
00000000000000000198085308,258896,07NOV2013,2800.00,2800.00,0.00
00000000000000000235280679,258896,07APR2014,10000.00,10000.00,7664.81
00000000000000000283425442,259126,16JUL1996,72121.45,72121.45,0.00
00000000000000000283593819,259126,28FEB2001,108182.18,108182.18,32771.27
00000000000000000159517292,259759,27NOV2012,33000.00,33000.00,4946.32
00000000000000000231581597,265463,07FEB2014,8565.50,8565.50,3948.95
00000000000000000249587434,265463,05JAN2015,0.00,0.00,0.00
00000100000000000358327260,268607,20FEB2004,12000.00,12000.00,0.00
00000000000000000064778690,270384,30NOV2009,250000.00,250000.00,200013.98
00000000000000000145567409,270664,26DEC2011,8486.71,8486.71,3781.62
